Date,Close
1/3/2017,8.89
1/4/2017,8.91
1/5/2017,8.98
1/6/2017,8.93
1/9/2017,8.96
1/10/2017,8.97
1/11/2017,8.98
1/12/2017,9.01
1/13/2017,9.01
1/17/2017,9.08
1/18/2017,9.01
1/19/2017,8.99
1/20/2017,9
1/23/2017,9.06
1/24/2017,9.04
1/25/2017,9.03
1/26/2017,8.99
1/27/2017,9
1/30/2017,9.02
1/31/2017,9.07
2/1/2017,9.05
2/2/2017,9.07
2/3/2017,9.07
2/6/2017,9.09
2/7/2017,9.07
2/8/2017,9.1
2/9/2017,9.07
2/10/2017,9.06
2/13/2017,9.04
2/14/2017,9.02
2/15/2017,9.02
2/16/2017,9.07
2/17/2017,9.07
2/21/2017,9.06
2/22/2017,9.07
2/23/2017,9.11
2/24/2017,9.13
2/27/2017,9.12
2/28/2017,9.13
3/1/2017,9.06
3/2/2017,9.02
3/3/2017,9.06
3/6/2017,9.05
3/7/2017,9.03
3/8/2017,9
3/9/2017,8.97
3/10/2017,9
3/13/2017,8.99
3/14/2017,8.98
3/15/2017,9.07
3/16/2017,9.08
3/17/2017,9.09
3/20/2017,9.1
3/21/2017,9.13
3/22/2017,9.15
3/23/2017,9.15
3/24/2017,9.16
3/27/2017,9.18
3/28/2017,9.15
3/29/2017,9.17
3/30/2017,9.14
3/31/2017,9.15
4/3/2017,9.17
4/4/2017,9.17
4/5/2017,9.16
4/6/2017,9.15
4/7/2017,9.13
4/10/2017,9.14
4/11/2017,9.18
4/12/2017,9.21
4/13/2017,9.21
4/17/2017,9.22
4/18/2017,9.27
4/19/2017,9.24
4/20/2017,9.23
4/21/2017,9.23
4/24/2017,9.25
4/25/2017,9.22
4/26/2017,9.22
4/27/2017,9.22
4/28/2017,9.23
5/1/2017,9.22
5/2/2017,9.23
5/3/2017,9.21
5/4/2017,9.21
5/5/2017,9.22
5/8/2017,9.19
5/9/2017,9.15
5/10/2017,9.15
5/11/2017,9.16
5/12/2017,9.2
5/15/2017,9.2
5/16/2017,9.25
5/17/2017,9.32
5/18/2017,9.28
5/19/2017,9.31
5/22/2017,9.32
5/23/2017,9.3
5/24/2017,9.32
5/25/2017,9.32
5/26/2017,9.32
5/30/2017,9.34
5/31/2017,9.36
6/1/2017,9.34
6/2/2017,9.39
6/5/2017,9.38
6/6/2017,9.41
6/7/2017,9.4
6/8/2017,9.37
6/9/2017,9.36
6/12/2017,9.37
6/13/2017,9.38
6/14/2017,9.41
6/15/2017,9.36
6/16/2017,9.38
6/19/2017,9.35
6/20/2017,9.34
6/21/2017,9.35
6/22/2017,9.35
6/23/2017,9.36
6/26/2017,9.36
6/27/2017,9.37
6/28/2017,9.38
6/29/2017,9.38
6/30/2017,9.36
7/3/2017,9.32
7/5/2017,9.32
7/6/2017,9.32
7/7/2017,9.3
7/10/2017,9.31
7/11/2017,9.33
7/12/2017,9.35
7/13/2017,9.35
7/14/2017,9.39
7/17/2017,9.4
7/18/2017,9.44
7/19/2017,9.44
7/20/2017,9.47
7/21/2017,9.5
7/24/2017,9.49
7/25/2017,9.45
7/26/2017,9.5
7/27/2017,9.48
7/28/2017,9.51
7/31/2017,9.54
8/1/2017,9.55
8/2/2017,9.56
8/3/2017,9.58
8/4/2017,9.54
8/7/2017,9.55
8/8/2017,9.54
8/9/2017,9.56
8/10/2017,9.58
8/11/2017,9.59
8/14/2017,9.57
8/15/2017,9.53
8/16/2017,9.56
8/17/2017,9.57
8/18/2017,9.58
8/21/2017,9.61
8/22/2017,9.58
8/23/2017,9.61
8/24/2017,9.59
8/25/2017,9.64
