Date,Close
1/3/2012,10.07
1/4/2012,10.04
1/5/2012,10.01
1/6/2012,10.03
1/9/2012,10.06
1/10/2012,10.05
1/11/2012,10.07
1/12/2012,10.1
1/13/2012,10.1
1/17/2012,10.12
1/18/2012,10.13
1/19/2012,10.11
1/20/2012,10.08
1/23/2012,10.07
1/24/2012,10.04
1/25/2012,10.08
1/26/2012,10.15
1/27/2012,10.22
1/30/2012,10.25
1/31/2012,10.27
2/1/2012,10.27
2/2/2012,10.27
2/3/2012,10.21
2/6/2012,10.23
2/7/2012,10.21
2/8/2012,10.2
2/9/2012,10.14
2/10/2012,10.16
2/13/2012,10.17
2/14/2012,10.15
2/15/2012,10.15
2/16/2012,10.12
2/17/2012,10.08
2/21/2012,10.06
2/22/2012,10.07
2/23/2012,10.12
2/24/2012,10.1
2/27/2012,10.14
2/28/2012,10.17
2/29/2012,10.1
3/1/2012,10.08
3/2/2012,10.08
3/5/2012,10.09
3/6/2012,10.11
3/7/2012,10.11
3/8/2012,10.1
3/9/2012,10.05
3/12/2012,10.08
3/13/2012,10
3/14/2012,9.89
3/15/2012,9.9
3/16/2012,9.89
3/19/2012,9.9
3/20/2012,9.88
3/21/2012,9.94
3/22/2012,9.99
3/23/2012,10.03
3/26/2012,10.02
3/27/2012,10.03
3/28/2012,10.04
3/29/2012,10.08
3/30/2012,10.07
4/2/2012,10.1
4/3/2012,10.04
4/4/2012,10.05
4/5/2012,10.05
4/9/2012,10.11
4/10/2012,10.16
4/11/2012,10.15
4/12/2012,10.16
4/13/2012,10.14
4/16/2012,10.18
4/17/2012,10.15
4/18/2012,10.14
4/19/2012,10.14
4/20/2012,10.16
4/23/2012,10.17
4/24/2012,10.16
4/25/2012,10.17
4/26/2012,10.2
4/27/2012,10.22
4/30/2012,10.25
5/1/2012,10.24
5/2/2012,10.24
5/3/2012,10.24
5/4/2012,10.24
5/7/2012,10.24
5/8/2012,10.23
5/9/2012,10.21
5/10/2012,10.2
5/11/2012,10.2
5/14/2012,10.17
5/15/2012,10.12
5/16/2012,10.11
5/17/2012,10.14
5/18/2012,10.16
5/21/2012,10.15
5/22/2012,10.1
5/23/2012,10.1
5/24/2012,10.07
5/25/2012,10.06
5/29/2012,10.07
5/30/2012,10.06
5/31/2012,10.11
6/1/2012,10.15
6/4/2012,10.15
6/5/2012,10.12
6/6/2012,10.11
6/7/2012,10.08
6/8/2012,10.08
6/11/2012,10.06
6/12/2012,10.04
6/13/2012,10.04
6/14/2012,10.06
6/15/2012,10.14
6/18/2012,10.11
6/19/2012,10.15
6/20/2012,10.13
6/21/2012,10.09
6/22/2012,10.08
6/25/2012,10.11
6/26/2012,10.1
6/27/2012,10.09
6/28/2012,10.1
6/29/2012,10.14
7/2/2012,10.18
7/3/2012,10.18
7/5/2012,10.14
7/6/2012,10.14
7/9/2012,10.16
7/10/2012,10.17
7/11/2012,10.17
7/12/2012,10.2
7/13/2012,10.22
7/16/2012,10.26
7/17/2012,10.26
7/18/2012,10.29
7/19/2012,10.31
7/20/2012,10.29
7/23/2012,10.27
7/24/2012,10.25
7/25/2012,10.27
7/26/2012,10.32
7/27/2012,10.3
7/30/2012,10.31
7/31/2012,10.34
8/1/2012,10.3
8/2/2012,10.3
8/3/2012,10.34
8/6/2012,10.38
8/7/2012,10.34
8/8/2012,10.34
8/9/2012,10.34
8/10/2012,10.37
8/13/2012,10.36
8/14/2012,10.34
8/15/2012,10.3
8/16/2012,10.28
8/17/2012,10.29
8/20/2012,10.3
8/21/2012,10.33
8/22/2012,10.41
8/23/2012,10.43
8/24/2012,10.41
8/27/2012,10.41
8/28/2012,10.44
8/29/2012,10.42
8/30/2012,10.42
8/31/2012,10.47
9/4/2012,10.48
9/5/2012,10.49
9/6/2012,10.47
9/7/2012,10.57
9/10/2012,10.55
9/11/2012,10.6
9/12/2012,10.6
9/13/2012,10.66
9/14/2012,10.64
9/17/2012,10.62
9/18/2012,10.62
9/19/2012,10.66
9/20/2012,10.66
9/21/2012,10.68
9/24/2012,10.7
9/25/2012,10.69
9/26/2012,10.72
9/27/2012,10.73
9/28/2012,10.7
10/1/2012,10.7
10/2/2012,10.71
10/3/2012,10.69
10/4/2012,10.71
10/5/2012,10.68
10/8/2012,10.7
10/9/2012,10.67
10/10/2012,10.68
10/11/2012,10.69
10/12/2012,10.71
10/15/2012,10.7
10/16/2012,10.68
10/17/2012,10.66
10/18/2012,10.63
10/19/2012,10.63
10/22/2012,10.6
10/23/2012,10.6
10/24/2012,10.6
10/25/2012,10.56
10/26/2012,10.62
10/31/2012,10.64
11/1/2012,10.62
11/2/2012,10.57
11/5/2012,10.58
11/6/2012,10.58
11/7/2012,10.61
11/8/2012,10.65
11/9/2012,10.64
11/12/2012,10.64
11/13/2012,10.65
11/14/2012,10.61
11/15/2012,10.59
11/16/2012,10.58
11/19/2012,10.58
11/20/2012,10.55
11/21/2012,10.52
11/23/2012,10.57
11/26/2012,10.59
11/27/2012,10.58
11/28/2012,10.61
11/29/2012,10.62
11/30/2012,10.61
12/3/2012,10.63
