Date,Close
1/3/2012,31.76
1/4/2012,31.75
1/5/2012,31.87
1/6/2012,31.81
1/9/2012,31.9
1/10/2012,32.21
1/11/2012,32.25
1/12/2012,32.34
1/13/2012,32.17
1/17/2012,32.27
1/18/2012,32.67
1/19/2012,32.84
1/20/2012,32.86
1/23/2012,32.87
1/24/2012,32.87
1/25/2012,33.18
1/26/2012,32.99
1/27/2012,32.99
1/30/2012,32.89
1/31/2012,32.88
2/1/2012,33.24
2/2/2012,33.3
2/3/2012,33.82
2/6/2012,33.8
2/7/2012,33.86
2/8/2012,33.93
2/9/2012,33.98
2/10/2012,33.72
2/13/2012,33.98
2/14/2012,33.94
2/15/2012,33.77
2/16/2012,34.19
2/17/2012,34.24
2/21/2012,34.23
2/22/2012,34.1
2/23/2012,34.3
2/24/2012,34.34
2/27/2012,34.38
2/28/2012,34.47
2/29/2012,34.28
3/1/2012,34.5
3/2/2012,34.35
3/5/2012,34.22
3/6/2012,33.66
3/7/2012,33.93
3/8/2012,34.28
3/9/2012,34.44
3/12/2012,34.42
3/13/2012,35.07
3/14/2012,34.98
3/15/2012,35.21
3/16/2012,35.24
3/19/2012,35.39
3/20/2012,35.25
3/21/2012,35.2
3/22/2012,34.93
3/23/2012,34.93
3/26/2012,35.42
3/27/2012,35.31
3/28/2012,35.13
3/29/2012,35.08
3/30/2012,35.19
4/2/2012,35.46
4/3/2012,35.34
4/4/2012,34.95
4/5/2012,34.93
4/9/2012,34.51
4/10/2012,33.88
4/11/2012,34.17
4/12/2012,34.66
4/13/2012,34.23
4/16/2012,34.21
4/17/2012,34.74
4/18/2012,34.59
4/19/2012,34.41
4/20/2012,34.46
4/23/2012,34.15
4/24/2012,34.27
4/25/2012,34.77
4/26/2012,35.01
4/27/2012,35.12
4/30/2012,34.96
5/1/2012,35.13
5/2/2012,35.08
5/3/2012,34.76
5/4/2012,34.2
5/7/2012,34.22
5/8/2012,34.08
5/9/2012,33.88
5/10/2012,33.97
5/11/2012,33.88
5/14/2012,33.49
5/15/2012,33.31
5/16/2012,33.16
5/17/2012,32.6
5/18/2012,32.33
5/21/2012,32.9
5/22/2012,32.9
5/23/2012,32.98
5/24/2012,33.04
5/25/2012,32.98
5/29/2012,33.36
5/30/2012,32.86
5/31/2012,32.78
6/1/2012,31.93
6/4/2012,31.91
6/5/2012,32.14
6/6/2012,32.89
6/7/2012,32.85
6/8/2012,33.12
6/11/2012,32.65
6/12/2012,33.04
6/13/2012,32.78
6/14/2012,33.13
6/15/2012,33.48
6/18/2012,33.55
6/19/2012,33.91
6/20/2012,33.86
6/21/2012,33.08
6/22/2012,33.17
6/25/2012,32.64
6/26/2012,32.8
6/27/2012,33.11
6/28/2012,33.05
6/29/2012,33.9
7/2/2012,34.02
7/3/2012,34.28
7/5/2012,34.14
7/6/2012,33.82
7/9/2012,33.75
7/10/2012,33.45
7/11/2012,33.43
7/12/2012,33.28
7/13/2012,33.81
7/16/2012,33.72
7/17/2012,33.95
7/18/2012,34.18
7/19/2012,34.26
7/20/2012,33.91
7/23/2012,33.58
7/24/2012,33.25
7/25/2012,33.25
7/26/2012,33.78
7/27/2012,34.44
7/30/2012,34.4
7/31/2012,34.25
8/1/2012,34.09
8/2/2012,33.85
8/3/2012,34.52
8/6/2012,34.62
8/7/2012,34.83
8/8/2012,34.85
8/9/2012,34.9
8/10/2012,34.96
8/13/2012,34.92
8/14/2012,34.91
8/15/2012,35
8/16/2012,35.26
8/17/2012,35.35
8/20/2012,35.33
8/21/2012,35.23
8/22/2012,35.23
8/23/2012,34.95
8/24/2012,35.16
8/27/2012,35.15
8/28/2012,35.15
8/29/2012,35.2
8/30/2012,34.92
8/31/2012,35.1
9/4/2012,35.12
9/5/2012,35.1
9/6/2012,35.81
9/7/2012,35.97
9/10/2012,35.76
9/11/2012,35.87
9/12/2012,35.97
9/13/2012,36.52
9/14/2012,36.72
9/17/2012,36.56
9/18/2012,36.5
9/19/2012,36.55
9/20/2012,36.49
9/21/2012,36.34
9/24/2012,36.24
9/25/2012,35.84
9/26/2012,35.64
9/27/2012,35.99
9/28/2012,35.84
10/1/2012,35.92
10/2/2012,35.96
10/3/2012,36.08
10/4/2012,36.34
10/5/2012,36.33
10/8/2012,36.2
10/9/2012,35.84
10/10/2012,35.63
10/11/2012,35.67
10/12/2012,35.54
10/15/2012,35.82
10/16/2012,36.19
10/17/2012,36.35
10/18/2012,36.27
