Date,Inflation
2021-01-01,0.014
2020-01-01,0.0249
2019-01-01,0.0155
2018-01-01,0.0207
2017-01-01,0.025
2016-01-01,0.0137
2015-01-01,-0.0009
2014-01-01,0.0158
2013-01-01,0.016
2012-01-01,0.0293
2021-02-01,0.0168
2020-02-01,0.0234
2019-02-01,0.0152
2018-02-01,0.0221
2017-02-01,0.0274
2016-02-01,0.0102
2015-02-01,-0.0003
2014-02-01,0.0113
2013-02-01,0.0198
2012-02-01,0.0287
2021-03-01,0.0262
2020-03-01,0.0154
2019-03-01,0.0186
2018-03-01,0.0236
2017-03-01,0.0238
2016-03-01,0.0085
2015-03-01,-0.0007
2014-03-01,0.0151
2013-03-01,0.0147
2012-03-01,0.0265
2021-04-01,0.0416
2020-04-01,0.0033
2019-04-01,0.02
2018-04-01,0.0246
2017-04-01,0.022
2016-04-01,0.0113
2015-04-01,-0.002
2014-04-01,0.0195
2013-04-01,0.0106
2012-04-01,0.023
2021-05-01,0.0499
2020-05-01,0.0012
2019-05-01,0.0179
2018-05-01,0.028
2017-05-01,0.0187
2016-05-01,0.0102
2015-05-01,-0.0004
2014-05-01,0.0213
2013-05-01,0.0136
2012-05-01,0.017
2021-06-01,0.0539
2020-06-01,0.0065
2019-06-01,0.0165
2018-06-01,0.0287
2017-06-01,0.0163
2016-06-01,0.0101
2015-06-01,0.0012
2014-06-01,0.0207
2013-06-01,0.0175
2012-06-01,0.0166
2021-07-01,0.0537
2020-07-01,0.0099
2019-07-01,0.0181
2018-07-01,0.0295
2017-07-01,0.0172
2016-07-01,0.0084
2015-07-01,0.0017
2014-07-01,0.0199
2013-07-01,0.0196
2012-07-01,0.0141
2021-08-01,0.0525
2020-08-01,0.0131
2019-08-01,0.0175
2018-08-01,0.027
2017-08-01,0.0194
2016-08-01,0.0106
2015-08-01,0.002
2014-08-01,0.017
2013-08-01,0.0152
2012-08-01,0.0169
2021-09-01,0.0539
2020-09-01,0.0137
2019-09-01,0.0171
2018-09-01,0.0228
2017-09-01,0.0223
2016-09-01,0.0146
2015-09-01,-0.0004
2014-09-01,0.0166
2013-09-01,0.0119
2012-09-01,0.0199
2021-10-01,0.0622
2020-10-01,0.0118
2019-10-01,0.0176
2018-10-01,0.0252
2017-10-01,0.0204
2016-10-01,0.0164
2015-10-01,0.0017
2014-10-01,0.0166
2013-10-01,0.0096
2012-10-01,0.0216
2021-11-01,0.0681
2020-11-01,0.0118
2019-11-01,0.0205
2018-11-01,0.0218
2017-11-01,0.022
2016-11-01,0.0169
2015-11-01,0.005
2014-11-01,0.0132
2013-11-01,0.0124
2012-11-01,0.0176
2021-12-01,0.071
2020-12-01,0.0136
2019-12-01,0.0229
2018-12-01,0.0191
2017-12-01,0.0211
2016-12-01,0.0208
2015-12-01,0.0073
2014-12-01,0.0076
2013-12-01,0.015
2012-12-01,0.0174
